#,種族名,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ
129,コイキング,20,10,55,15,20,80
130,ギャラドス,95,125,79,60,100,81
131,ラプラス,130,85,80,85,95,60
132,メタモン,48,48,48,48,48,48
133,イーブイ,55,55,50,45,65,55
134,シャワーズ,130,65,60,110,95,65
135,サンダース,65,65,60,110,95,130
136,ブースター,65,130,60,95,110,65
137,ポリゴン,65,60,70,85,75,40
138,オムナイト,35,40,100,90,55,35
139,オムスター,70,60,125,115,70,55
140,カブト,30,80,90,55,45,55
141,カブトプス,60,115,105,65,70,80
142,プテラ,80,105,65,60,75,130
143,カビゴン,160,110,65,65,110,30
144,フリーザー,90,85,100,95,125,85
145,サンダー,90,90,85,125,90,100
146,ファイヤー,90,100,90,125,85,90
147,ミニリュウ,41,64,45,50,50,50
148,ハクリュー,61,84,65,70,70,70
149,カイリュー,91,134,95,100,100,80
150,ミュウツー,106,110,90,154,90,130
151,ミュウ,100,100,100,100,100,100
